Estado,Ciudad,Zona_Escalada,Outdoor_o_Indoor,Tipo_de_Escalada,Calificacion_Promedio,Accesibilidad,Fuente,Insignia_Reconocimiento
Tamaulipas,Jaumave,Reserva de la Biósfera El Cielo,Outdoor,Deportiva,NULL,Media,VisitTamaulipas,
Tamaulipas,San Carlos,Sierra de San Carlos,Outdoor,Deportiva,NULL,Dificil,VisitTamaulipas,
Tamaulipas,González,Cerro El Bernal,Outdoor,Deportiva,NULL,Media,VisitTamaulipas,
Tamaulipas,El Mante,Cañon de la Servilleta,Outdoor,Boulder,NULL,Dificil,TheCrag,
Tamaulipas,Tampico,Reikuntampico,Indoor,Boulder,NULL,Facil,Redes Sociales,
Tlaxcala,Amaxac de Guerrero,Atlihuetzia,Outdoor,Deportiva-Boulder,4.8,Media,TheCrag-Google Maps,
Tlaxcala,Panotla,San Mateo Huexoyucan,Outdoor,Boulder,NULL,Media,TheCrag,
Tlaxcala,Panotla,Huiloapan,Outdoor,Deportiva-Tradicional,NULL,Media,TheCrag,
Tlaxcala,San José Teacalco,Cuatlapanga,Outdoor,Deportiva,NULL,Media,TheCrag,
Tlaxcala,Panotla,El Quesito,Outdoor,Deportiva,NULL,Media,TheCrag,
Tlaxcala,Tlaxco,Acopinalco del Peñón,Outdoor,Deportiva,NULL,Media,ProgramaDestinosMexico,
Tlaxcala,Tlaxcala de Xicohténcatl,F2 Sala de Escalada,Indoor,Boulder,4.9,Facil,Google Maps,
Veracruz,Jalcomulco,Cerro Brujo,Outdoor,Deportiva,4.7,Facil,TheCrag-Google Maps-TripAdvisor,
Veracruz,Jalcomulco,Cuevas de Mapaxtla,Outdoor,Boulder,NULL,Media,TheCrag,
Veracruz,Santa Catarina,Santa Catarina-Río Blanco,Outdoor,Deportiva-Boulder,NULL,Media,TheCrag,
Veracruz,Coscomatepec de Bravo,Rocatec,Outdoor,Deportiva,NULL,Media,TheCrag,
Veracruz,Emiliano Zapata,Miradores del Mar,Outdoor,Boulder,NULL,Media,TheCrag-ProgramaDestinosMexico,
Veracruz,Coetzala,Cueva del Sol y la Luna,Outdoor,Deportiva,NULL,Media,TheCrag,
